Code,Name,Predicted_Volatility,Risk_Score,Recommendation
BAMB,Bamburi Cement Ltd,7.374315902358621,100.0,REDUCE EXPOSURE
OCH,Olympia Capital Holdings Ltd,5.755626321487595,78.0496306056905,REDUCE EXPOSURE
SCAN,WPP ScanGroup Plc,5.269782854449289,71.46131145214144,REDUCE EXPOSURE
PORT,East African Portland Cement Ltd,5.097652498268639,69.1271240039797,HOLD
SLAM,Sanlam Kenya Plc,5.014719332924727,68.00250218899365,HOLD
LBTY,Liberty Kenya Holdings Ltd,4.837438625832723,65.59847299578668,HOLD
KPLC,Kenya Power and Lighting Company Plc,4.8019744659522505,65.1175584221497,HOLD
UCHM,Uchumi Supermarket Plc,4.464520266291875,60.541483785145836,HOLD
LKL,Longhorn Publishers Plc,4.447563587390821,60.31154138607353,HOLD
EVRD,Eveready East Africa Ltd,4.258353392763426,57.745741423979716,HOLD
TPSE,TPS Eastern Africa (Serena) Ltd,4.1562058503991315,56.360561514184646,HOLD
SMER,Sameer Africa Plc,3.998472999176994,54.22161258237001,HOLD
CABL,East African Cables Plc,3.8752692947299443,52.55089890426945,HOLD
FTGH,Flame Tree Group Holdings Ltd,3.806916138882537,51.62399047299998,HOLD
NBV,Nairobi Business Ventures Ltd,3.7057887960318614,50.25264506022303,HOLD
HAFR,Home Afrika Ltd,3.641339109325485,49.37866993412676,HOLD
BKG,BK Group Plc,3.6029268104175065,48.85777688565168,HOLD
TCL,Trans-Century Plc,3.4926582826736263,47.36247170475196,HOLD
NMG,Nation Media Group Plc,3.491496670750063,47.346719573449974,HOLD
CARB,Carbacid Investments Plc,3.4649052501055206,46.98612448915154,HOLD
EGAD,Eaagads Ltd,3.4590445325018164,46.90664975981659,HOLD
UNGA,Unga Group Ltd,3.2594359863350233,44.19984212084699,HOLD
KNRE,Kenya Re-Insurance Corporation Ltd,3.215320399395541,43.60160917932935,HOLD
EABL,East African Breweries Ltd,3.127842096446194,42.41535266268938,HOLD
CRWN,Crown Paints Kenya Plc,2.922710021225187,39.63364276665147,MONITOR
SGL,Standard Group Plc,2.864389000927285,38.84277591106629,MONITOR
TOTL,TotalEnergies Marketing Kenya Plc,2.7567235503329153,37.382769965837745,MONITOR
UMME,Umeme Ltd,2.65232330879339,35.96704214888684,MONITOR
KEGN,Kenya Electricity Generating Company Plc,2.6403091161416956,35.80412272950244,MONITOR
JUB,Jubilee Holdings Ltd,2.5997182953310856,35.25368766070334,MONITOR
NSE,Nairobi Securities Exchange Plc,2.573956600611489,34.90434414110504,MONITOR
CIC,CIC Insurance Group Ltd,2.506620891926674,33.9912328833777,MONITOR
IMH,I & M Holdings Plc,2.493155170365585,33.80862989024063,MONITOR
CGEN,Car and General (K) Ltd,2.4899478871728506,33.7651372702444,MONITOR
KAPC,Kapchorua Tea Kenya Plc,2.411457754706912,32.70076555759735,MONITOR
NCBA,NCBA Group Plc,2.3580297282953366,31.976250536556726,MONITOR
WTK,Williamson Tea Kenya Plc,2.299070316740071,31.176726725318755,MONITOR
HFCK,HF Group Ltd,2.16750680928963,29.392649270644466,MONITOR
BRIT,Britam Holdings Plc,2.0259915162294306,27.473619832063772,MONITOR
SBIC,Stanbic Holdings Plc,1.947092783005894,26.403707256196206,MONITOR
DTK,Diamond Trust Bank Kenya Ltd,1.9164588637882551,25.988293547002645,MONITOR
SCOM,Safaricom Plc,1.9035339294884268,25.813023942730677,MONITOR
KUKZ,Kakuzi Plc,1.8272053074953973,24.777963565555673,MONITOR
SASN,Sasini Plc,1.6887559411012423,22.90050987049668,MONITOR
CTUM,Centum Investment Company Plc,1.6101277331887058,21.83426577472384,MONITOR
EQTY,Equity Group Holdings Plc,1.5935269445708429,21.609149454272295,MONITOR
ABSA,ABSA Bank Kenya Plc,1.5421243995016949,20.91210113481113,MONITOR
COOP,Co-operative Bank of Kenya Ltd,1.3313931915245092,18.0544637516637,BUY
KCB,KCB Group Plc,1.2246388828320514,16.60681341899605,BUY
^ZKEQTU,Zamara Kenya Equity Index (USD),1.1720511307913422,15.893693005699284,BUY
SCBK,Standard Chartered Bank Kenya Ltd,1.1095325905350537,15.045905345337562,BUY
XPRS,Express Kenya Plc,0.8823205587684868,11.964778434380374,BUY
BOC,BOC Kenya Plc,0.8332548836911446,11.299419427158446,BUY
BAT,British American Tobacco Kenya Plc,0.8036530506564751,10.898001405112472,BUY
^NASI,NSE All-Share Index,0.7864361584994405,10.664530363391465,BUY
LIMT,Limuru Tea Plc,0.7356351060359444,9.975638632468362,BUY
^N10I,NSE 10-Share Index,0.5241079819239142,7.107208164980864,BUY
^NBDI,NSE Bonds Index,0.15536284347451249,2.106810252389931,BUY
ARM,ARM Cement Plc,0.001772021279318277,0.024029636142269266,BUY
LAPR,Laptrust Imara Income-REIT,0.001772021279318277,0.024029636142269266,BUY
KPLC-P4,KPLC-P4,0.001772021279318277,0.024029636142269266,BUY
ORCH,Kenya Orchards Ltd,0.001772021279318277,0.024029636142269266,BUY
DCON,Deacons (East Africa) Plc,0.001772021279318277,0.024029636142269266,BUY
MSC,Mumias Sugar Company Ltd,0.001772021279318277,0.024029636142269266,BUY
KPLC-P7,KPLC-P7,0.001772021279318277,0.024029636142269266,BUY
KQ,Kenya Airways Plc,0.001772021279318277,0.024029636142269266,BUY
HBE,Homeboyz Entertainment Plc,0.001772021279318277,0.024029636142269266,BUY
NBK,National Bank of Kenya Ltd,0.001772021279318277,0.024029636142269266,BUY
